тема;текст;;;;;;;;;;;;;;;;;;;;;;;
не вопрос клиента;Добрый день;;;;;;;;;;;;;;;;;;;;;;;
металлоискатель;Здравствуйте! Нужен в аренду металлоискатель. Подскажите какая глубина поиска?;;;;;;;;;;;;;;;;;;;;;;;
не вопрос клиента;Здравствуйте!;;;;;;;;;;;;;;;;;;;;;;;
УШМ;Добрый день. Скажите, можно ли у вас взять в аренду угловую шлифовальную машинку с защитным кожухом и пылеотводом?;;;;;;;;;;;;;;;;;;;;;;;
не вопрос клиента;Добрый вечер;;;;;;;;;;;;;;;;;;;;;;;
пила дисковая;Здравствуйте пила циркулярная интересует;;;;;;;;;;;;;;;;;;;;;;;
шлифовальная машина;Здравствуйте! есть ли у вас шлифовальная машинка?;;;;;;;;;;;;;;;;;;;;;;;
УШМ;Добрый день! Возможно арендовать болгарку сегодня?;;;;;;;;;;;;;;;;;;;;;;;
детектор проводки;Добрый день, подскажите пожалуйста есть ли у вас в наличии тестер скрытой проводки? Необходимо найти кабельв стене  на глубине 5 см;;;;;;;;;;;;;;;;;;;;;;;
жираф;Добрый вечер! Нужен жираф в аренду на пару дней, подскажите, пожалуйста, какой фирмы у Вас данный инструмент?;;;;;;;;;;;;;;;;;;;;;;;
плиткорез ручной;Добрый день. Интересует плиткорез в аренду для плитки размером 600мм. Подскажите наличие и цену.;;;;;;;;;;;;;;;;;;;;;;;
не вопрос клиента;Здравствуйте;;;;;;;;;;;;;;;;;;;;;;;
пресс для труб РЕ-Х;Здравствуйте. Скажите, аксиальный пресс сейчас есть в аренду?;;;;;;;;;;;;;;;;;;;;;;;
перфоратор;Доброе утро вчера с вами договаривались о аренде перфоратора большого и бура 45 Человек едет будет у вас примерно в 09.00;;;;;;;;;;;;;;;;;;;;;;;
вибратор;Добрый вечер. Завтра часов в 12 нужно 2 глубинных вибратора 6-ти метровых. На сутки;;;;;;;;;;;;;;;;;;;;;;;
не вопрос клиента;Здравствуйте;;;;;;;;;;;;;;;;;;;;;;;
не вопрос клиента;Добрый день. После строительства Лахта-центр приехало на склад на Парнасе 15 паллет инструмента БУ, часть новое. Скинуть список для ознакомления? напишите почту или телефон (могу на ватцап).;;;;;;;;;;;;;;;;;;;;;;;
плиткорез ручной;Добрый день. Плиткорез ручной в аренду есть?  Минимум 400 мм. Сколько залог, сколько сутки?;;;;;;;;;;;;;;;;;;;;;;;
пылесос;здравствуйте! подскажите, пожалуйста, у вас есть пылесосы в аренду?;;;;;;;;;;;;;;;;;;;;;;;
паяльник для ПВХ труб;Добрый день, насчёт паяльник пекс трубы хотел узнать если он у вас?;;;;;;;;;;;;;;;;;;;;;;;
перфоратор;Здравствуйте, перфоратор на сутки можно взять?;;;;;;;;;;;;;;;;;;;;;;;
дрель-шуруповерт;Здравствуйте, возможно сегодня арендовать дрель?;;;;;;;;;;;;;;;;;;;;;;;
перфоратор;Здравствуйте, интересует аренда перфоратора.  Ориентир по датам с 30.12 по  3.01 Какая будет стоимость?;;;;;;;;;;;;;;;;;;;;;;;
генератор;Добрый день. Хочу взять у Вас генератор, сроком примерно на 15 суток. Какая будет цена. Спасибо.;;;;;;;;;;;;;;;;;;;;;;;
фен;Добрый вечер, подскажите пожалуйста - фен строительный - сколько стоит на сутки и кто произхводитель фена?;;;;;;;;;;;;;;;;;;;;;;;
лестница;добрый день, нужна сегодня к 19 часам лестница для работы на высоте 3,5 метра. Нужна на 1 день. Нужна доставка на Васильевский остров, Нахимова дом 9.  Сможете сделать? Сколько будет стоить?;;;;;;;;;;;;;;;;;;;;;;;
жираф;Здравствуйте, хотела бы сегодня взять на прокат шлифовальную машинку для стен, аренда нужна на 3 дня, сколько будет по цене и можно ли прийти к вам сегодня;;;;;;;;;;;;;;;;;;;;;;;
пушка дизельная;Доброго дня! Ищем пушки дизельные на 15 кВт, три штуки  в аренду с четверга, на 2-3 дня. Есть у Вас? Какие условия? Территориально Порошкино.;;;;;;;;;;;;;;;;;;;;;;;
пресс для труб РЕ-Х;Аксиальный прес есть в аренде?;;;;;;;;;;;;;;;;;;;;;;;
нет такого инструмента;Доброе утро Нам нужен в аренду ленточнопилтный станок  Для распилки алюминиевого профиля;;;;;;;;;;;;;;;;;;;;;;;
не вопрос клиента;Добрый день;;;;;;;;;;;;;;;;;;;;;;;
лестница;Здравствуйте, у вас есть стремянка для лестницы?;;;;;;;;;;;;;;;;;;;;;;;
УШМ;Здравствуйте, сколько по стоимости аренда болгарки 1 день?  Свободно на завтра ?;;;;;;;;;;;;;;;;;;;;;;;
не вопрос клиента;Здравствуйте. Прайс лист, можно, пожалуйста?!;;;;;;;;;;;;;;;;;;;;;;;
домкрат подкатной;Добрый день. Скажите пожалуйста, у вас есть домкрат подкатной в аренду?;;;;;;;;;;;;;;;;;;;;;;;
торцовочная пила;Здравствуйте! Торцовочный пила есть?;;;;;;;;;;;;;;;;;;;;;;;
пылесос;Здравствуйте  Можно строительный пылесос на 3 дня? Введенская 7 Сколько будет стоить и когда возможна доставка;;;;;;;;;;;;;;;;;;;;;;;
лестница;Здравствуйте, лестница/стремянка высотой 2-2,5 метра есть у Вас? Нужна будет доставка.;;;;;;;;;;;;;;;;;;;;;;;
нет такого инструмента;Здравствуйте, наборы гаечных ключей, трещеток, головок, есть?;;;;;;;;;;;;;;;;;;;;;;;
бензорез;Добрый день, есть ли бензорез с 400 диском в аренду на одни сутки?;;;;;;;;;;;;;;;;;;;;;;;
генератор;Здравствуйте. Интересует в аренду дизельный генератор от 60кВт и станция прогрева бетона от 40кВт.;;;;;;;;;;;;;;;;;;;;;;;
шлифовальная машина;Здравствуйте, интересует в прокат ручная шлифмашина. Есть ли, залог, стоимость в сутки?;;;;;;;;;;;;;;;;;;;;;;;
генератор;Здравствуйте, нужен генератор , чтобы два сварачника смог запитывать и 2 тележки на завтра;;;;;;;;;;;;;;;;;;;;;;;
лестница;Добрый вечер. Есть ли у вас лестницы 9,5 м?;;;;;;;;;;;;;;;;;;;;;;;
генератор;Здравствуйте! Подскажите пожалуйста, нужен генератор для работы на складе большом, Для клининговых услуг и уборке после строительства. Ваш генератор подойдет под эти цели? Какая стоимость выйдет на 3 дня? Какие условия? Спасибо!;;;;;;;;;;;;;;;;;;;;;;;
пушка дизельная;Добрый день! У вас есть дизельная пушка в аренду на сегодня? Какая стоимость аренды на сутки и стоимость доставки?;;;;;;;;;;;;;;;;;;;;;;;
не вопрос клиента;Здравствуйте;;;;;;;;;;;;;;;;;;;;;;;
не вопрос клиента;Здравствуйте;;;;;;;;;;;;;;;;;;;;;;;
пушка газовая;Добрый вечер, тепловую газовую пушку 40-50 квт можно арендовать?;;;;;;;;;;;;;;;;;;;;;;;
торцовочная пила;Здравствуйте! Нужен торцовочник чтобы выполнить запил плинтуса под разные углы высотой 80 мм. Сколько будет стоить аренда такого инструмента и условия аренды.;;;;;;;;;;;;;;;;;;;;;;;
вопрос по режиму работы;Здравствуйте до скольки работаете;;;;;;;;;;;;;;;;;;;;;;;
УШМ;Здравствуйте, скажите маленькую болгарку можно в аренду у вас взять? И по какой цене?;;;;;;;;;;;;;;;;;;;;;;;
паяльник для ПВХ труб;Здравствуйте, скажите пистолет для пайки можно в аренду у вас взять? И по какой цене?;;;;;;;;;;;;;;;;;;;;;;;
вопрос по режиму работы;Привет! Это Анастасия. По поводу пушки для фасада. Дадите прямой номер?;;;;;;;;;;;;;;;;;;;;;;;
пылесос;Здравствуйте! Подскажите, пожалуйста, стоимость аренды пылесоса на 2 суток? И осуществляется ли доставка?  Адрес: Смольный 7Б. Нужно собрать строительную пыль перед чистовой отделкой. Площадь: 80 кв.м.;;;;;;;;;;;;;;;;;;;;;;;
перфоратор;Здравствуйте, интересует перфоратор и бур д32х1000;;;;;;;;;;;;;;;;;;;;;;;
штроборез;Здравствуйте! Штроборез 125 возможно в аренду взять;;;;;;;;;;;;;;;;;;;;;;;
коронка по бетону;Здравчтвуйте. Нужна коронка по бетону 132мм.;;;;;;;;;;;;;;;;;;;;;;;
генератор;Добрый день! Нужен бензогенератор в аренду - 6,5-7 кВт. 1-фазный. На неделю. адрес: обуховской обороны,51 Безнал, юрлицо, НДС;;;;;;;;;;;;;;;;;;;;;;;
дрель для алмазного бурения;Добрый утро,  есть дрель для сухого алмазного бурения?;;;;;;;;;;;;;;;;;;;;;;;
штроборез;Здравствуйте,  хотел бы взять у вас в прокат штроборез, он у вас свободен? какие условия и сколько это будет стоить?;;;;;;;;;;;;;;;;;;;;;;;
не вопрос клиента;Здравствуйте;;;;;;;;;;;;;;;;;;;;;;;
домкрат бутылочный;Здравствуйте!  Какие домкраты есть в аренду с вечера четверга по воскресенье?  Режим работы?  Стоимость в сутки?  Без залога, верно?;;;;;;;;;;;;;;;;;;;;;;;
воздуходувка;Добрый день, есть в наличии воздуходув? Если есть, то цена аренды.;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
